id,name_zh,name_en,category,trophic_level,rarity,base_size,size_cap,grow_factor,hunger_rate,mood_base,vitality_base,eats,alt_eats,produces,light_pref,oxygen_need,nutrient_need,unlock_condition,sprite_stages,coin_value,codex_desc
20,黑魔鬼,BlackGhost,fish,4,limited,12,30,1.0,15,70,82,6;7,4,nutrient,low,high,high,事件「雷暴日·夜间」,4,420,夜行性弱电鱼，靠近时屏幕会有微弱波纹特效。
21,绿莫斯,JavaMoss,plant,1,common,4,10,0.5,0,0,0,,,oxygen,medium,0,low,事件「漂流瓶」,2,40,易养水草，附着在沉木上形成天然绿荫。
22,黄金米虾,GoldenShrimp,invertebrate,2,common,4,12,0.9,7,62,68,1;2,,nutrient,medium,low,low,事件「海鸥来访」,3,40,通体金黄的米虾，群养时缸底像撒了金粉。
23,红绿灯鱼,CardinalTetra,fish,3,common,6,18,1.2,10,72,80,4;5,1,nutrient,medium,medium,medium,事件「海风带来」,4,60,亮蓝红条纹小型鱼，比灯科鱼更艳丽。
24,珍珠马甲,PearlGourami,fish,3,rare,9,26,1.3,12,74,80,4;5,1,nutrient,medium,medium,medium,事件「微风轻拂·进阶」,4,150,带珍珠斑点的中层鱼，求偶时鳍会展开。
25,熊猫鼠,PandaCory,fish,4,rare,7,18,1.0,10,75,80,4;5,1,nutrient,low,medium,medium,事件「客人造访」,3,170,黑白配色的小型鼠鱼，群居底栖很可爱。
26,蓝曼龙,BlueGourami,fish,3,rare,10,28,1.3,13,70,80,4;5,1,nutrient,medium,medium,medium,事件「营养雨」,4,160,蓝色光泽的迷鳃鱼，能直接呼吸空气。
27,天使鱼,Angelfish,fish,4,rare,11,30,1.2,14,72,80,6;7,4,nutrient,medium,medium,high,事件「下雨日·进阶」,4,200,扁体高鳍的中大型鱼，泳姿优雅如纸鸢。
28,极乐鸟鱼,Paradisefish,fish,3,limited,9,26,1.3,12,76,82,4;5,,nutrient,high,medium,medium,长尾·养鱼成就「百日守护」,4,520,体色如极乐鸟尾羽般绚烂，需累计养鱼 100 天才会现身。
29,龙鱼成体,SilverArowanaA,fish,4,limited,18,50,0.6,20,80,90,6;7;13,4,nutrient,high,high,high,长尾·银龙幼鱼成长到 size_cap,4,800,银龙幼体长成的大型掠食鱼，鳞片如月光铠甲。
30,虎纹鸭嘴,TigerShovelnose,fish,4,limited,16,42,0.9,18,72,85,6;7;10,4,nutrient,low,high,high,长尾·缸体满级 + 雷暴日触发,4,680,虎斑色巨型鲶科，仅在缸生态成熟后的雷夜出没。
